protocolSection.identificationModule.briefTitle,protocolSection.statusModule.statusVerifiedDate,protocolSection.statusModule.overallStatus,protocolSection.statusModule.completionDateStruct.date,protocolSection.sponsorCollaboratorsModule.responsibleParty.type,protocolSection.sponsorCollaboratorsModule.responsibleParty.investigatorFullName,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,protocolSection.conditionsModule.conditions,protocolSection.designModule.studyType,protocolSection.designModule.enrollmentInfo.count,protocolSection.designModule.enrollmentInfo.type,protocolSection.armsInterventionsModule.interventions,protocolSection.conditionsModule.keywords,protocolSection.eligibilityModule.studyPopulation
"Safety, Tolerability, PK, and Efficacy Evaluation of Repeat Ascending Doses of Olipudase Alfa in Pediatric Patients <18 Years of Age With Acid Sphingomyelinase Deficiency",2022-03,COMPLETED,2019-12-09,SPONSOR,,"Genzyme, a Sanofi Company",['Sphingomyelin Lipidosis'],INTERVENTIONAL,20.0,ACTUAL,"[{'name': 'Olipudase alfa', 'description': 'Pharmaceutical form: powder for concentrate for solution for infusion Route of administration: intravenous infusion'}]",,
Mexiletine in Sporadic Amyotrophic Lateral Sclerosis,2019-11,COMPLETED,2018-09-30,PRINCIPAL_INVESTIGATOR,Michael D Weiss,University of Washington,['Sporadic Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,20.0,ACTUAL,"[{'name': 'Mexiletine'}, {'name': 'Placebo'}]","['SALS', 'Mexiletine', 'TMS', 'NCS']",
Longitudinal Assessment of Autonomic and Sensory Nervous System in ALS,2023-01,RECRUITING,2024-05,SPONSOR,,Istituti Clinici Scientifici Maugeri SpA,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,100.0,ESTIMATED,"[{'name': 'Skin biopsy', 'description': 'A punch skin biopsy of 3mm will be used to analyze cutaneous innervation'}, {'name': 'Cardiovascular Reflexes testing', 'description': 'Cardiovascular reflex tests including deep breathing, head-up Tilt, standing, isometric exercises, mental arithmetic and Valsalva maneuver.'}, {'name': 'Administration of clinical scales evaluating autonomic symptoms, pain small fiber neuropathy symptoms', 'description': ""We'll characterize patients' symptoms through the administration of clinical scales such as: SCOPA-AUT autonomic symptoms scale; Brief Pain Inventory questionnaire""}, {'name': 'Dinamic Sweat Test', 'description': 'Test for the functional assessment of postganglionic sudomotor pathway'}]","['Autonomic nervous system', 'skin biopsy', 'biomarkers', 'cutaneous sensory an autonomic innervation']",
Diagnosing Frontotemporal Lobar Degeneration,2019-04,UNKNOWN,2019-12,PRINCIPAL_INVESTIGATOR,Carmela Tartaglia,"University Health Network, Toronto","['Corticobasal Syndrome', 'Progressive Supranuclear Palsy', 'Behavioral Variant Frontotemporal Dementia', 'Semantic Dementia', 'Progressive Nonfluent Aphasia', 'Amyotrophic Lateral Sclerosis and/or Frontotemporal Dementia']",OBSERVATIONAL,100.0,ESTIMATED,[{'name': 'Observational Study'}],,"Patients with a diagnosis of progressive supranuclear palsy (PSP), corticobasal syndrome (CBS), semantic variant primary progressive aphasia (sv-PPA), non-fluent variant PPA (nfv-PPA), behavioral variant frontotemporal dementia (bvFTD) or FTD-motor neuron disease (FTD-MND)."
Restore Motor Function Through Robotic Arm Exoskeleton and Brain Computer Interface,2019-03,UNKNOWN,2022-12-31,SPONSOR,,University of Aarhus,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,15.0,ESTIMATED,"[{'name': 'REMAP EEG based BCI and SEM-Glove BioServo', 'description': 'EEG-based brain computer interface (BCI) will be adapted to individual ALS patients and modified to control external robotic devices'}]",['brain computer interface'],
Transmagnetic Stimulation Pilot in Primary Progressive Aphasia,2023-10,ENROLLING_BY_INVITATION,2024-03,SPONSOR,,HealthPartners Institute,['Primary Progressive Aphasia'],INTERVENTIONAL,3.0,ESTIMATED,"[{'name': 'Intermittent theta burst stimulation', 'description': 'MagVenture TMS Therapy with theta burst stimulation. Resting motor threshold: 80%; Number of pulses per session: 1200 pulses; Inter-train interval: 8 seconds; Pulse frequency in burst: 50 Hertz'}]","['transmagnetic stimulation', 'functional MRI guided Theta Burst Stimulation']",
Influence of G-CSF and EPO on Associative Learning and Motor Skills,2007-04,COMPLETED,2009-03,,,University Hospital Muenster,"['Chronic Stroke', 'Amyotrophic Lateral Sclerosis']",INTERVENTIONAL,180.0,ESTIMATED,"[{'name': 'granulocyte - colony stimulating factor (G-CSF)'}, {'name': 'erythropoetin (EPO)'}]",,
Preventing Language Decline in Dementia,2019-07,COMPLETED,2019-01-31,PRINCIPAL_INVESTIGATOR,Regina Jokel,Baycrest,['Primary Progressive Aphasia'],INTERVENTIONAL,20.0,ACTUAL,"[{'name': 'Language therapy', 'description': 'Participants will receive semantic and phonological therapy for words they cannot retrieve spontaneously. They will be given an opportunity to practice the words in a group setting.'}]",,
Trial of Ascertaining Individual Preferences for Loved One's Role in End-of-Life,2018-08,COMPLETED,2014-03-26,SPONSOR,,Johns Hopkins University,"['Amyotrophic Lateral Sclerosis', 'GI Cancer', 'Pancreatic Cancer']",INTERVENTIONAL,431.0,ACTUAL,"[{'name': 'TAILORED Patient Family Decision Making', 'description': 'Patient-family dyads will receive TAILORED intervention on health decision making'}, {'name': 'standard of care', 'description': 'Patient-family dyads will receive standard of care in health decision-making'}]",,
SOD1 Inhibition by Pyrimethamine in Familial Amyotrophic Lateral Sclerosis (ALS),2017-05,COMPLETED,2016-05,PRINCIPAL_INVESTIGATOR,Dr. Dale J. Lange,Weill Medical College of Cornell University,['Familial Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,32.0,ACTUAL,"[{'name': 'Pyrimethamine', 'description': 'Open Label, dose escalating,'}]","['ALS', 'Familial ALS', 'SOD1 Gene Mutation']",
Safety and Tolerability of RAG-17 in the Treatment of Amyotrophic Lateral Sclerosis Patients With SOD1 Gene Mutation,2023-06,ENROLLING_BY_INVITATION,2024-02-28,PRINCIPAL_INVESTIGATOR,yilong Wang,Beijing Tiantan Hospital,['Gene Mutation'],INTERVENTIONAL,6.0,ESTIMATED,"[{'name': 'RAG-17', 'description': 'RAG-17 60mg is used'}]","['RAG-17', 'SOD1 Gene Mutation', 'Amyotrophic Lateral Sclerosis']",
A Follow up Study to Protocol 101/2 - Continued Treatment by IPL344 IV,2023-12,SUSPENDED,2026-02,SPONSOR,,Immunity Pharma Ltd.,['Amyotrophic Lateral Sclerosis (ALS)'],INTERVENTIONAL,15.0,ESTIMATED,"[{'name': 'IPL344', 'description': 'IPL344 will be administered by intravenously (IV) infusion once a day (every 24±6 hours), using a Peripherally Inserted Central Catheter (PICC) line or a permanent port. IPL344 will be administered using an electronic pump at a flow rate that will be determined in protocol 101/2. The dose will be fixed as MTD as established in protocol 101/2 (up to 3.2 mg/kg).'}]",,
RAPA-501 Therapy for ALS,2023-08,RECRUITING,2025-07-01,SPONSOR,,Rapa Therapeutics LLC,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,41.0,ESTIMATED,"[{'name': 'RAPA-501 Autologous T cells', 'description': 'TREG/Th2 cells'}]","['Amyotrophic Lateral Sclerosis', 'Autologous TREG/Th2 cell therapy', 'RAPA-501']",
Clinical Study In Infants With Rapidly Progressive Lysosomal Acid Lipase Deficiency,2019-10,TERMINATED,2018-10-30,SPONSOR,,"Alexion Pharmaceuticals, Inc.",['Lysosomal Acid Lipase Deficiency'],INTERVENTIONAL,10.0,ACTUAL,"[{'name': 'Sebelipase Alfa', 'description': 'Sebelipase alfa is a recombinant human lysosomal acid lipase. The investigational medicinal product is an enzyme replacement therapy intended for treatment of participants with LAL-D. Dosing occurred once weekly for up to 3 years.'}]","['LIPA', 'Wolman Disease', 'Wolman Phenotype', 'Acid Lipase Deficiency', 'Acid Cholesteryl Hydrolase', 'Acid Lipase Disease Deficiency, type 2', 'Cholesteryl Ester Storage Disease (CESD)', 'Cholesteryl Ester Hydrolase Deficiency', 'Early Onset Lysosomal Acid Lipase Deficiency (Wolman Disease)', 'LAL Deficiency', 'Late Onset Lysosomal Acid Lipase Deficiency (CESD)', 'Wolman Disease (early onset LAL Deficiency)', 'Related Disorders:', 'Non-alcoholic Fatty Liver Disease (NAFLD)', 'Non-alcoholic Steatohepatitis (NASH)', 'Alcoholic Liver Disease', 'Cryptogenic Cirrhosis', 'Niemann-Pick Disease (NPD) Type C', 'Chanarin Dorfman Syndrome']",
Open-Label Study of Leuco-methylthioninium Bis(Hydromethanesulfonate) (LMTM) in Subjects With Alzheimer's Disease or Behavioral Variant Frontotemporal Dementia (bvFTD),2023-05,TERMINATED,2017-05,SPONSOR,,TauRx Therapeutics Ltd,"[""Alzheimer's Disease"", 'Behavioral Variant Frontotemporal Dementia']",INTERVENTIONAL,913.0,ACTUAL,"[{'name': 'LMTM', 'description': 'The initial LMTM dose was 200 mg/day (one 100-mg tablet twice daily), except in subjects with bvFTD who were taking a reduced dose (i.e., 100 mg/day) upon entering this extension study. The dose could be increased (after at least 13 weeks of treatment) or decreased (at any time at or after 2 weeks of treatment) by the Investigator in 100-mg increments or decrements. The maximum allowable dose was 300 mg/day (or in those countries where limited by a Competent Authority or Ethics Committee, 200 mg/day).'}]","['Dementia', 'Alzheimer Disease', 'bvFTD', 'Frontotemporal Dementia', 'Neurodegenerative Diseases', 'Brain Diseases', 'Cognitive Disorders']",
An Assistive Powered Wheelchair: Stage 2 Trial,2022-07,COMPLETED,2021-08-31,SPONSOR,,East Kent Hospitals University NHS Foundation Trust,"['Multiple Sclerosis', 'Stroke', 'Cystic Fibrosis', 'Motor Neurone Disease', 'Craniocerebral Trauma', 'Guillain-Barre Syndrome']",OBSERVATIONAL,17.0,ACTUAL,"[{'name': 'Powered Wheelchair Obstacle Alerting System', 'description': 'Evaluation of an Obstacle Alerting System'}]",,Adult non-powered wheelchair users
ALS Testing Through Home-based Outcome Measures,2023-02,COMPLETED,2019-09-30,SPONSOR_INVESTIGATOR,Jeremy Shefner,Jeremy Shefner,['Amyotrophic Lateral Sclerosis'],OBSERVATIONAL,144.0,ACTUAL,"[{'name': 'Respirometer, Handgrip Meter, Skulpt Chisel, ActigraphyMeter', 'description': 'Respirometer, Handgrip Meter, Skulpt Chisel, ActigraphyMeter'}]","['ALS', 'neurodegenerative']",ALS patient volunteers will be invited to participate in this study as well as healthy subjects for the control group.
Genomic Translation for Amyotrophic Lateral Sclerosis Care,2022-08,COMPLETED,2022-06-29,SPONSOR,,Columbia University,['ALS'],OBSERVATIONAL,254.0,ACTUAL,,"['genetics', 'genomics', 'amyotrophic lateral sclerosis (ALS)', 'primary lateral sclerosis (PLS)', 'progressive muscular atrophy (PMA)', 'motor neuron disease']","Patients with ALS (meeting El Escorial criteria for definite, probable or possible ALS), or primary lateral sclerosis or progressive bulbar/muscular atrophy."
Effectiveness of Expiratory Muscle Strength Training for Improving Communication in ALS,2023-06,COMPLETED,2022-06-01,PRINCIPAL_INVESTIGATOR,HuberLab,Purdue University,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,13.0,ACTUAL,"[{'name': 'Expiratory Muscle Strength Training (EMST-150)', 'description': ""All participants will forcefully breathe out into an Expiratory Muscle Strength Training device (EMST-150) 25 times per day for 6 weeks. The EMST device will be set at a moderate intensity level (50% of each participant's maximum expiratory pressure).""}]",,
Safety and Efficacy of Repeated Administrations of NurOwn® in ALS Patients,2021-10,COMPLETED,2020-10-30,SPONSOR,,Brainstorm-Cell Therapeutics,['Amyotrophic Lateral Sclerosis (ALS)'],INTERVENTIONAL,263.0,ACTUAL,"[{'name': 'NurOwn® (MSC-NTF cells)', 'description': 'Autologous transplantation of bone marrow derived mesenchymal stem cells propagated ex vivo and induced to secrete neurotrophic factors'}, {'name': 'Placebo', 'description': 'Placebo'}, {'name': 'Bone Marrow aspiration', 'description': 'Bone Marrow aspiration'}]","['MSC', 'Autologous', 'Neurotrophic factors']",
"A Study to Evaluate the Safety and Effect of AVB-101, a Gene Therapy Product, in Subjects With a Genetic Sub-type of Frontotemporal Dementia (FTD-GRN)",2024-01,RECRUITING,2030-10-31,SPONSOR,,AviadoBio Ltd,"['Frontotemporal Dementia', 'FTD', 'FTD-GRN', 'Dementia, Frontotemporal']",INTERVENTIONAL,9.0,ESTIMATED,"[{'name': 'Intrathalamic AAV.PGRN administration', 'description': 'One-time MRI-guided stereotaxic infusion of AAV.PGRN into the brain'}, {'name': 'Intrathalamic AVB-101', 'description': ""AVB-101 is made from an adeno-associated virus, serotype 9 (AAV9). AAVs are small viruses that are naturally occurring and do not cause illness or infection on their own. AVB-101 has been modified to contain a copy of the correct (non-mutated) GRN gene, plus some other genetic material to enable the GRN gene to function inside neurons (cells within the brain). AVB-101 has also been modified so that it cannot divide and make new copies of itself (known as 'replication'), which means that it cannot cause disease or a large immune response in your body.""}]","['Gene Therapy', 'AAV', 'Intrathalamic', 'Intraparenchymal', 'Progranulin', 'Behavioral Variant FTD', 'Primary Progressive Aphasia', 'PGRN', 'Granulin', 'Dementia', 'Dementia Gene Therapy', 'AAV9']",
Comparing The Cyberlink Control System to the Manual Letter Board for Communication Purposes in the ALS Patient Population,2013-03,COMPLETED,2012-05,SPONSOR,,Drexel University College of Medicine,"['Amyotrophic Lateral Sclerosis', 'Neurodegenerative Disease', 'Motor Neuron Disease']",OBSERVATIONAL,25.0,ACTUAL,,"['Amyotrophic Lateral Sclerosis', 'Cerebrospinal Fluid', 'Neurodegenerative Disease', 'Motor Neuron Disease', 'Autonomic Nervous System', 'Neurodegenerative Diseases', 'Movement Disorders']",ALS clinic patients at MDA/ALS Center of Hope.
Use of Dalfampridine in Primary Lateral Sclerosis,2023-08,ACTIVE_NOT_RECRUITING,2024-07,SPONSOR,,"Hospital for Special Surgery, New York","['Motor Neuron Disease, Upper']",INTERVENTIONAL,35.0,ESTIMATED,"[{'name': 'dalfampridine', 'description': 'Pill open label'}]",,
Intravenous Transplantation of Mesenchymal Stem Cell in Patients With ALS,2012-05,COMPLETED,2014-03,SPONSOR,,Royan Institute,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,6.0,ACTUAL,"[{'name': 'intra venous injection of stem cell', 'description': 'Intra venous injection of mesenchymal stem cell'}]",['ALS bone marrow mesenchymal stem cell intravenous injection'],
"IGF-1, IGFBP3, ALS Normative Ranges in Healthy Pediatric Spanish Population",2019-01,TERMINATED,2013-10,SPONSOR,,Ipsen,['IGF-1 Deficiency'],OBSERVATIONAL,304.0,ACTUAL,,,Healthy paediatric Spanish population
Can Magnetic Brain Stimulation Improve Language Function in Primary Progressive Aphasia,2021-03,UNKNOWN,2022-12,SPONSOR,,University of Manitoba,['Logopenic Progressive Aphasia'],INTERVENTIONAL,10.0,ESTIMATED,"[{'name': 'MagStim Rapid2 Transcranial Magnetic Simulation', 'description': 'A non-invasive method of brain stimulation'}]","['Primary Progressive Aphasia', 'Brain Stimulation']",
Efficacy and Safety of Masitinib Versus Placebo in the Treatment of ALS Patients,2023-04,RECRUITING,2023-12,SPONSOR,,AB Science,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,495.0,ESTIMATED,"[{'name': 'Masitinib (6.0)', 'description': 'Masitinib (titration to 6.0 mg/kg/day)'}, {'name': 'Riluzole', 'description': 'Riluzole 50 mg tablet, treatment per os'}, {'name': 'Placebo', 'description': 'treatment per os'}, {'name': 'Masitinib (4.5)', 'description': 'Masitinib (titration to 4.5 mg/kg/day)'}]","['Amyotrophic Lateral Sclerosis', 'ALS', 'Tyrosine kinase inhibitor', ""Lou Gehrig's disease"", ""Charcot's disease"", 'Motor Neuron disease', 'MND']",
Transcranial Static Magnetic Field Stimulation (tSMS) in Amyotrophic Lateral Sclerosis (ALS).,2020-10,UNKNOWN,2023-12,PRINCIPAL_INVESTIGATOR,Di Lazzaro Vincenzo,Campus Bio-Medico University,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,40.0,ESTIMATED,"[{'name': 'tSMS', 'description': 'tSMS delivered on bilateral motor cortex'}, {'name': 'sham tSMS', 'description': 'sham tSMS delivered on bilateral motor cortex by a non-magnetic steel cylinder, with same size, weight and appearance of the magnet used for real tSMS'}]","['Amyotrophic Lateral Sclerosis', 'ALS', 'transcranial magnetic stimulation', 'static magnetic field', 'tSMS']",
Effect of Lithium Carbonate in Patients With Amyotrophic Lateral Sclerosis,2009-03,COMPLETED,2011-04,SPONSOR,,Assistance Publique - Hôpitaux de Paris,['Amyotrophic Lateral Sclerosis'],INTERVENTIONAL,23.0,ACTUAL,"[{'name': 'lithium', 'description': 'lithium LP 400mg daily po (doses were adjusted during the study to maintain targeted blood levels.)'}]","['Amyotrophic lateral sclerosis', 'Lithium', 'Survival']",
P-glycoprotein Function in Brain Diseases,2014-08-25,COMPLETED,2014-08-25,,,National Institute of Mental Health (NIMH),"['Alzheimer Disease', 'Parkinson Disease', 'Frontotemporal Lobar Degeneration']",OBSERVATIONAL,20.0,ACTUAL,,"['Alzheimer Disease', ""Parkinson's Disease"", 'Frontotemporal Dementia', 'PET Imaging', 'AD', 'Parkinson Disease', 'PD']",
Assessment of Empathetic Process by Scanpath Study of an Artwork,2022-03,COMPLETED,2019-12-31,SPONSOR,,Centre Hospitalier Princesse Grace,"['Alzheimer Dementia', 'Parkinson Disease', 'Fronto-Temporal Dementia']",INTERVENTIONAL,70.0,ACTUAL,"[{'name': 'Eye-Tracking / Neuropsychological evaluations', 'description': 'Use of Eye-Tracking / Neuropsychological évaluations in 4 groups'}]","['Eye-Tracking', 'Empathy', 'Social cognition', 'Theory of Mind', 'Scanpath', 'Gaze']",
